what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1424572767130
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1424572767145
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1424572767145
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1424572767161
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1424572767161
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1424572767161
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1424572767161
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1424572767301
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1424572767317
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1424572767317
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1424572767317
started,bundle,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.adt",1424572767317
started,bundle,com.android.ide.eclipse.base,20.0.1.v201207132230-403220,"com.android.ide.eclipse.base",1424572767317
os,sysinfo,,,"win32",1424572767317
arch,sysinfo,,,"x86",1424572767317
ws,sysinfo,,,"win32",1424572767317
locale,sysinfo,,,"ko_KR",1424572767317
processors,sysinfo,,,"8",1424572767317
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1424572767317
java.runtime.version,sysinfo,,,"1.7.0_05-b05",1424572767317
java.specification.name,sysinfo,,,"Java Platform API Specification",1424572767317
java.specification.vendor,sysinfo,,,"Oracle Corporation",1424572767317
java.specification.version,sysinfo,,,"1.7",1424572767317
java.vendor,sysinfo,,,"Oracle Corporation",1424572767317
java.version,sysinfo,,,"1.7.0_05",1424572767317
java.vm.info,sysinfo,,,"mixed mode",1424572767317
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1424572767317
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1424572767317
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1424572767317
